Entity,Code,Year,RuralAccess,UrbanAccess,Continent
Cote d'Ivoire,CIV,2020,43.1361083984375,94.4706039428711,
Senegal,SEN,2020,47.3575325012207,95.17642974853520,
Papua New Guinea,PNG,2020,56.82716369628910,83.5999984741211,
Vanuatu,VUT,2020,57.65036392211910,95.58536529541020,
Myanmar,MMR,2020,60.159915924072300,93.03386688232420,
Pakistan,PAK,2020,60.81752395629880,100,
Kenya,KEN,2020,62.67134094238280,93.98622131347660,
North Korea,PRK,2020,67.1847152709961,43.345455169677700,
Sao Tome and Principe,STP,2020,71.07750701904300,78.44978332519530,
Solomon Islands,SLB,2020,72.04631042480470,77.3165512084961,
Nicaragua,NIC,2020,72.93690490722660,100,
Ghana,GHA,2020,73.99131774902340,94.71047973632810,
South Africa,ZAF,2020,75.26485443115230,88.80626678466800,
Syria,SYR,2020,75.60992431640630,100,
Eswatini,SWZ,2020,75.75619506835940,92.19866943359380,
Micronesia (country),FSM,2020,78.82523345947270,96.70623016357420,
Comoros,COM,2020,81.3364028930664,99.71875,
Low and middle income,,2020,81.4442367553711,96.44931030273440,
Cambodia,KHM,2020,82.91397857666020,97.30000305175780,
Honduras,HND,2020,83.6860580444336,100,
Lower middle income,,2020,85.31787109375,96.82386016845700,
Nepal,NPL,2020,88.78601837158200,94.19999694824220,
Middle income,,2020,89.42721557617190,98.38005065917970,
Panama,PAN,2020,90.2484359741211,99.68539428710940,
Guyana,GUY,2020,90.94596862792970,96.89897918701170,
Bolivia,BOL,2020,91.81351470947270,100,
Indonesia,IDN,2020,93.48823547363280,99.5999984741211,
Cape Verde,CPV,2020,93.51370239257810,94.48597717285160,
Latin America and Caribbean,,2020,93.57073974609380,99.6672592163086,
South Asia,,2020,93.67335510253910,99.72494506835940,
Middle East and North Africa,,2020,94.14930725097660,99.66364288330080,
Timor,TLS,2020,94.35543823242190,100,
Mongolia,MNG,2020,94.5951919555664,99.69999694824220,
Bangladesh,BGD,2020,95.21196746826170,97.80000305175780,
Philippines,PHL,2020,95.5878677368164,98.23407745361330,
Belize,BLZ,2020,96.074462890625,98.33164978027340,
East Asia and Pacific,,2020,96.28837585449220,99.1379623413086,
Kiribati,KIR,2020,96.43689727783200,88.3895263671875,
Guatemala,GTM,2020,96.62060546875,97.45913696289060,
Suriname,SUR,2020,96.68827819824220,98.98081970214840,
Peru,PER,2020,96.82907104492190,100,
Afghanistan,AFG,2020,97.06671142578130,99.5,
Ecuador,ECU,2020,97.39957427978520,99.66000366210940,
Mexico,MEX,2020,97.72412872314450,99.80000305175780,
India,IND,2020,98.46328735351560,100,
Jordan,JOR,2020,98.83477020263670,100,
Upper middle income,,2020,99.01482391357420,99.67182159423830,
Tuvalu,TUV,2020,99.13632202148440,100,
Algeria,DZA,2020,99.57990264892580,99.8840103149414,
Costa Rica,CRI,2020,99.73197937011720,99.94000244140630,
Mauritius,MUS,2020,99.83576202392580,99.40860748291020,
Albania,ALB,2020,100,100,
Andorra,AND,2020,100,100,
Antigua and Barbuda,ATG,2020,100,100,
Argentina,ARG,2020,100,100,
Armenia,ARM,2020,100,99.95941162109380,
Aruba,ABW,2020,100,100,
Australia,AUS,2020,100,100,
Austria,AUT,2020,100,100,
Azerbaijan,AZE,2020,100,100,
Bahamas,BHS,2020,100,100,
Bahrain,BHR,2020,100,100,
Barbados,BRB,2020,100,100,
Belarus,BLR,2020,100,100,
Belgium,BEL,2020,100,100,
Bermuda,BMU,2020,100,100,
Bhutan,BTN,2020,100,100,
Bosnia and Herzegovina,BIH,2020,100,100,
Brazil,BRA,2020,100,100,
British Virgin Islands,VGB,2020,100,100,
Brunei,BRN,2020,100,100,
Bulgaria,BGR,2020,100,99.80000305175780,
Canada,CAN,2020,100,100,
Cayman Islands,CYM,2020,100,100,
Channel Islands,OWID_CIS,2020,100,100,
Chile,CHL,2020,100,100,
China,CHN,2020,100,100,
Colombia,COL,2020,100,100,
Croatia,HRV,2020,100,100,
Cuba,CUB,2020,100,100,
Curacao,CUW,2020,100,100,
Cyprus,CYP,2020,100,100,
Czechia,CZE,2020,100,100,
Denmark,DNK,2020,100,100,
Dominican Republic,DOM,2020,100,100,
Egypt,EGY,2020,100,100,
El Salvador,SLV,2020,100,100,
Estonia,EST,2020,100,100,
Europe and Central Asia,,2020,100,99.99280548095700,
European Union,,2020,100,99.99687194824220,
Faeroe Islands,FRO,2020,100,100,
Fiji,FJI,2020,100,100,
Finland,FIN,2020,100,100,
France,FRA,2020,100,100,
French Polynesia,PYF,2020,100,100,
Georgia,GEO,2020,100,100,
Germany,DEU,2020,100,100,
Gibraltar,GIB,2020,100,100,
Greece,GRC,2020,100,100,
Greenland,GRL,2020,100,100,
Guam,GUM,2020,100,100,
High income,,2020,100,100,
Hong Kong,HKG,2020,100,100,
Hungary,HUN,2020,100,100,
Iceland,ISL,2020,100,100,
Iran,IRN,2020,100,100,
Iraq,IRQ,2020,100,100,
Ireland,IRL,2020,100,100,
Isle of Man,IMN,2020,100,100,
Israel,ISR,2020,100,100,
Italy,ITA,2020,100,100,
Jamaica,JAM,2020,100,100,
Japan,JPN,2020,100,100,
Kazakhstan,KAZ,2020,100,100,
Kuwait,KWT,2020,100,100,
Kyrgyzstan,KGZ,2020,100,99.50406646728520,
Laos,LAO,2020,100,100,
Latvia,LVA,2020,100,100,
Lebanon,LBN,2020,100,100,
Liechtenstein,LIE,2020,100,100,
Lithuania,LTU,2020,100,100,
Luxembourg,LUX,2020,100,100,
Macao,MAC,2020,100,100,
Malaysia,MYS,2020,100,100,
Maldives,MDV,2020,100,100,
Malta,MLT,2020,100,100,
Marshall Islands,MHL,2020,100,95.95038604736330,
Moldova,MDA,2020,100,100,
Monaco,MCO,2020,100,100,
Montenegro,MNE,2020,100,100,
Morocco,MAR,2020,100,100,
Nauru,NRU,2020,100,100,
Netherlands,NLD,2020,100,100,
New Caledonia,NCL,2020,100,100,
New Zealand,NZL,2020,100,100,
North America,,2020,100,100,
North Macedonia,MKD,2020,100,100,
Northern Mariana Islands,MNP,2020,100,100,
Norway,NOR,2020,100,100,
Oman,OMN,2020,100,100,
Palau,PLW,2020,100,100,
Palestine,PSE,2020,100,100,
Paraguay,PRY,2020,100,100,
Poland,POL,2020,100,100,
Portugal,PRT,2020,100,100,
Puerto Rico,PRI,2020,100,100,
Qatar,QAT,2020,100,100,
Romania,ROU,2020,100,100,
Russia,RUS,2020,100,100,
Saint Kitts and Nevis,KNA,2020,100,100,
Saint Lucia,LCA,2020,100,100,
Saint Martin (French part),MAF,2020,100,100,
Saint Vincent and the Grenadines,VCT,2020,100,100,
Samoa,WSM,2020,100,99.9869155883789,
San Marino,SMR,2020,100,100,
Saudi Arabia,SAU,2020,100,100,
Serbia,SRB,2020,100,100,
Seychelles,SYC,2020,100,100,
Singapore,SGP,2020,100,100,
Sint Maarten (Dutch part),SXM,2020,100,100,
Slovakia,SVK,2020,100,100,
Slovenia,SVN,2020,100,100,
South Korea,KOR,2020,100,100,
Spain,ESP,2020,100,100,
Sri Lanka,LKA,2020,100,100,
Sweden,SWE,2020,100,100,
Switzerland,CHE,2020,100,100,
Tajikistan,TJK,2020,100,99.0528564453125,
Thailand,THA,2020,100,100,
Tonga,TON,2020,100,100,
Trinidad and Tobago,TTO,2020,100,100,
Tunisia,TUN,2020,100,100,
Turkey,TUR,2020,100,100,
Turkmenistan,TKM,2020,100,100,
Turks and Caicos Islands,TCA,2020,100,100,
Ukraine,UKR,2020,100,100,
United Arab Emirates,ARE,2020,100,100,
United Kingdom,GBR,2020,100,100,
United States,USA,2020,100,100,
United States Virgin Islands,VIR,2020,100,100,
Uruguay,URY,2020,100,100,
Uzbekistan,UZB,2020,100,100,
Angola,AGO,2020,,73.70891571044920,
Burkina Faso,BFA,2020,,65.75390625,
Libya,LBY,2020,,100,
Mauritania,MRT,2020,,88.3748779296875,
