"DEMO_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CZE","Czechia","2020","2020",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2016","2016",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2019","2019",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2020","2020",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FIN","Finland","2016","2016",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FIN","Finland","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FIN","Finland","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FIN","Finland","2019","2019",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FIN","Finland","2020","2020",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FRA","France","2016","2016",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FRA","France","2017","2017",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FRA","France","2018","2018",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FRA","France","2019","2019",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FRA","France","2020","2020",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DEU","Germany","2016","2016",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DEU","Germany","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DEU","Germany","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DEU","Germany","2019","2019",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DEU","Germany","2020","2020",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRC","Greece","2016","2016",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRC","Greece","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRC","Greece","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRC","Greece","2019","2019",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRC","Greece","2020","2020",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HUN","Hungary","2016","2016",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HUN","Hungary","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HUN","Hungary","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HUN","Hungary","2019","2019",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HUN","Hungary","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ISL","Iceland","2016","2016",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ISL","Iceland","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ISL","Iceland","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ISL","Iceland","2019","2019",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ISL","Iceland","2020","2020",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRL","Ireland","2016","2016",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRL","Ireland","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRL","Ireland","2018","2018",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRL","Ireland","2019","2019",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRL","Ireland","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ITA","Italy","2016","2016",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ITA","Italy","2017","2017",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ITA","Italy","2018","2018",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ITA","Italy","2019","2019",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ITA","Italy","2020","2020",1.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JPN","Japan","2016","2016",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JPN","Japan","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JPN","Japan","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JPN","Japan","2019","2019",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JPN","Japan","2020","2020",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KOR","Republic of Korea","2016","2016",1.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KOR","Republic of Korea","2017","2017",1.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KOR","Republic of Korea","2018","2018",1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KOR","Republic of Korea","2019","2019",0.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KOR","Republic of Korea","2020","2020",0.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LUX","Luxembourg","2016","2016",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LUX","Luxembourg","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LUX","Luxembourg","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LUX","Luxembourg","2019","2019",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LUX","Luxembourg","2020","2020",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MEX","Mexico","2016","2016",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MEX","Mexico","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MEX","Mexico","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MEX","Mexico","2019","2019",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MEX","Mexico","2020","2020",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NLD","Netherlands","2016","2016",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NLD","Netherlands","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NLD","Netherlands","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NLD","Netherlands","2019","2019",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NLD","Netherlands","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NZL","New Zealand","2016","2016",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NZL","New Zealand","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NZL","New Zealand","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NZL","New Zealand","2019","2019",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NZL","New Zealand","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NOR","Norway","2016","2016",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NOR","Norway","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NOR","Norway","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NOR","Norway","2019","2019",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NOR","Norway","2020","2020",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","POL","Poland","2016","2016",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","POL","Poland","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","POL","Poland","2018","2018",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","POL","Poland","2019","2019",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","POL","Poland","2020","2020",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PRT","Portugal","2016","2016",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PRT","Portugal","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PRT","Portugal","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PRT","Portugal","2019","2019",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PRT","Portugal","2020","2020",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","SVK","Slovakia","2016","2016",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","SVK","Slovakia","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","SVK","Slovakia","2018","2018",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","SVK","Slovakia","2019","2019",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","SVK","Slovakia","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AFG","Afghanistan","2016","2016",5.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AFG","Afghanistan","2017","2017",5.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AFG","Afghanistan","2018","2018",5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AFG","Afghanistan","2019","2019",4.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AFG","Afghanistan","2020","2020",4.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ALB","Albania","2016","2016",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ALB","Albania","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ALB","Albania","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ALB","Albania","2019","2019",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ALB","Albania","2020","2020",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DZA","Algeria","2016","2016",3.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DZA","Algeria","2017","2017",3.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DZA","Algeria","2018","2018",3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DZA","Algeria","2019","2019",3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DZA","Algeria","2020","2020",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AGO","Angola","2016","2016",5.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AGO","Angola","2017","2017",5.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AGO","Angola","2018","2018",5.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AGO","Angola","2019","2019",5.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AGO","Angola","2020","2020",5.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ATG","Antigua and Barbuda","2016","2016",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ATG","Antigua and Barbuda","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ATG","Antigua and Barbuda","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ATG","Antigua and Barbuda","2019","2019",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ATG","Antigua and Barbuda","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARG","Argentina","2016","2016",2.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARG","Argentina","2017","2017",2.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARG","Argentina","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARG","Argentina","2019","2019",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARG","Argentina","2020","2020",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARM","Armenia","2016","2016",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARM","Armenia","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARM","Armenia","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARM","Armenia","2019","2019",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARM","Armenia","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ABW","Aruba","2016","2016",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ABW","Aruba","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ABW","Aruba","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ABW","Aruba","2019","2019",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ABW","Aruba","2020","2020",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AZE","Azerbaijan","2016","2016",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AZE","Azerbaijan","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AZE","Azerbaijan","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AZE","Azerbaijan","2019","2019",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AZE","Azerbaijan","2020","2020",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHS","Bahamas","2016","2016",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHS","Bahamas","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHS","Bahamas","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHS","Bahamas","2019","2019",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHS","Bahamas","2020","2020",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHR","Bahrain","2016","2016",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHR","Bahrain","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHR","Bahrain","2018","2018",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHR","Bahrain","2019","2019",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHR","Bahrain","2020","2020",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGD","Bangladesh","2016","2016",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGD","Bangladesh","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGD","Bangladesh","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGD","Bangladesh","2019","2019",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGD","Bangladesh","2020","2020",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRB","Barbados","2016","2016",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRB","Barbados","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRB","Barbados","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRB","Barbados","2019","2019",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRB","Barbados","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BLZ","Belize","2016","2016",2.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BLZ","Belize","2017","2017",2.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BLZ","Belize","2018","2018",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BLZ","Belize","2019","2019",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BLZ","Belize","2020","2020",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEN","Benin","2016","2016",5.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEN","Benin","2017","2017",5.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEN","Benin","2018","2018",5.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEN","Benin","2019","2019",5.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEN","Benin","2020","2020",5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BMU","Bermuda","2016","2016",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BMU","Bermuda","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BMU","Bermuda","2018","2018",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BMU","Bermuda","2019","2019",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BMU","Bermuda","2020","2020",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BTN","Bhutan","2016","2016",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BTN","Bhutan","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BTN","Bhutan","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BTN","Bhutan","2019","2019",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BTN","Bhutan","2020","2020",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BOL","Bolivia (Plurinational State of)","2016","2016",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BOL","Bolivia (Plurinational State of)","2017","2017",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BOL","Bolivia (Plurinational State of)","2018","2018",2.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BOL","Bolivia (Plurinational State of)","2019","2019",2.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BOL","Bolivia (Plurinational State of)","2020","2020",2.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BIH","Bosnia and Herzegovina","2016","2016",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BIH","Bosnia and Herzegovina","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BIH","Bosnia and Herzegovina","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BIH","Bosnia and Herzegovina","2019","2019",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BIH","Bosnia and Herzegovina","2020","2020",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BWA","Botswana","2016","2016",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BWA","Botswana","2017","2017",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BWA","Botswana","2018","2018",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BWA","Botswana","2019","2019",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BWA","Botswana","2020","2020",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRA","Brazil","2016","2016",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRA","Brazil","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRA","Brazil","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRA","Brazil","2019","2019",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRA","Brazil","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRN","Brunei Darussalam","2016","2016",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRN","Brunei Darussalam","2017","2017",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRN","Brunei Darussalam","2018","2018",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRN","Brunei Darussalam","2019","2019",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRN","Brunei Darussalam","2020","2020",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGR","Bulgaria","2016","2016",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGR","Bulgaria","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGR","Bulgaria","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGR","Bulgaria","2019","2019",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGR","Bulgaria","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BFA","Burkina Faso","2016","2016",5.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BFA","Burkina Faso","2017","2017",5.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BFA","Burkina Faso","2018","2018",5.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BFA","Burkina Faso","2019","2019",5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BFA","Burkina Faso","2020","2020",4.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BDI","Burundi","2016","2016",5.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BDI","Burundi","2017","2017",5.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BDI","Burundi","2018","2018",5.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BDI","Burundi","2019","2019",5.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BDI","Burundi","2020","2020",5.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KHM","Cambodia","2016","2016",2.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KHM","Cambodia","2017","2017",2.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KHM","Cambodia","2018","2018",2.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KHM","Cambodia","2019","2019",2.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KHM","Cambodia","2020","2020",2.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CMR","Cameroon","2016","2016",4.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CMR","Cameroon","2017","2017",4.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CMR","Cameroon","2018","2018",4.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CMR","Cameroon","2019","2019",4.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CMR","Cameroon","2020","2020",4.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CPV","Cabo Verde","2016","2016",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CPV","Cabo Verde","2017","2017",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CPV","Cabo Verde","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CPV","Cabo Verde","2019","2019",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CPV","Cabo Verde","2020","2020",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAF","Central African Republic","2016","2016",6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAF","Central African Republic","2017","2017",6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAF","Central African Republic","2018","2018",6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAF","Central African Republic","2019","2019",6,,
